Wavelength (nm)	Power
300	0.07
305	1.11
310	3.44
315	9.20
320	13.85
325	18.83
330	31.82
335	31.31
340	33.87
345	30.98
350	35.64
355	41.27
360	40.37
365	42.09
370	50.96
375	39.77
380	47.30
385	45.46
390	53.79
395	54.52
400	75.20
405	77.69
410	70.77
415	82.73
420	75.81
425	84.29
430	59.03
435	84.04
440	91.11
445	98.67
450	105.26
455	102.75
460	103.21
465	103.60
470	101.76
475	109.24
480	109.21
485	105.85
490	109.50
495	111.26
500	104.29
505	105.53
510	104.49
515	103.36
520	102.83
525	106.51
530	104.25
535	104.85
540	100.06
545	104.18
550	103.93
555	105.52
560	99.49
565	102.60
570	100.00
575	99.74
580	101.38
585	103.43
590	92.53
595	96.57
600	99.57
605	100.53
610	99.12
615	99.20
620	99.48
625	94.67
630	93.98
635	97.58
640	96.79
645	98.32
650	91.75
655	91.11
660	94.44
665	95.94
670	95.82
675	94.21
680	94.28
685	92.79
690	79.79
695	85.81
700	86.55
705	89.19
710	88.92
715	84.96
720	66.52
725	70.06
730	76.17
735	82.19
740	82.31
745	84.35
750	83.30
755	83.58
760	17.96
765	46.30
770	78.35
775	79.45
780	78.54
785	78.20
790	73.64
795	73.79
800	72.39
805	71.17
810	71.27
815	60.42
820	58.17
825	65.43
830	61.83
835	67.71
840	68.55
845	68.61
850	60.32
855	61.62
860	66.70
865	65.01
870	65.30
875	62.56
880	63.42
885	63.73
890	62.36
895	54.91
900	50.12
905	55.15
910	42.16
915	45.79
920	50.23
925	48.00
930	29.16
935	16.93
940	31.84
945	24.85
950	9.94
955	23.03
960	28.39
965	34.00
970	42.83
975	39.81
980	40.81
985	46.45
990	49.42
995	50.74
1000	49.63
1005	46.01
1010	48.54
1015	47.80
1020	47.18
1025	47.08
1030	46.61
1035	46.05
1040	45.34
1045	44.85
1050	44.18
1055	43.77
1060	42.92
1065	42.46
1070	40.81
1075	39.99
1080	40.31
1085	40.04
1090	37.51
1095	35.14
1100	32.79
